Model,Abstract,True Title,Predicted Title
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"Political prisoners like the Nobel laureate Liu Xiaobo may be denied medical care, activists say, while torture, forced labor and malnutrition are systemic problems.","Ailing Dissident’s Case Fits a Pattern in Chinese Prisons, Critics Say",Christina Larson discusses the death of the Chinese Nobel Peace laureate Liu Xiaobo
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"Competing military forces are pushing for leading roles in the new government, with the army and several militias staging marches and demonstrations around Tripoli.",Militias and Army Jostle for Influence in Libya,"With Libyan Vote Undecided, Two Parliaments Duel"
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,From the International Herald Tribune archives: Terrorism in Bolivia following changes in the military junta in 1965.,1965: Bolivia Rocked by Terrorism,1965: Terrorism in Bolivia
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,The security services have expressed alarm at the prospect of the extremist group Al Muhajiroun re-energizing with ISIS fighters returning from Iraq and Syria.,One of U.K.’s Most Prolific Extremist Cells Is Regrouping,"LONDON DISPATCH: ‘Welcome Home,’ the Jihadist Said. It Was ‘Good to Be Back.’"
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"The arrest of the lawmaker, who has not been publicly identified, poses problems for the government of Prime Minister Boris Johnson.",Conservative U.K. Lawmaker Is Arrested Over Rape Accusations,Senior Conservative Party Campaigner Held in Sex Crime Inquiry
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"A prominent businesswoman and politician has come under fire for saying, erroneously, that black Americans did not get voting rights for 107 years after the country’s slaves were freed, so Hong Kongers should also wait.",Hong Kong Politician Likens Protesters to African-American Slaves,A Hong Kong Official Suggested Using ‘Ex-Colored Slaves.’ The Public Lashed Back.
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,The Office for the Protection of the Constitution has deemed the Alternative for Germany’s youth wing “extremist” and will start observing select party members.,German Intelligence Agency Puts Far-Right Party on Warning,Is Posing as a Climate Youth Activist Enough to Get Your Party Banned?
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"The judge complained about the treatment of rape victims, calling a test to determine whether a woman’s hymen has been freshly broken “degrading, unscientific and archaic.”",Judge in Mumbai Rape Case Calls Test on Women Archaic,Egyptian Rape Victim to Be Flogged 100 Times
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,The agreement enabled the governing coalition to soothe tensions and reopened the possibility of challenging President Pervez Musharraf’s continued rule.,Agreement Will Restore Court Judges in Pakistan,Pakistan Opposition Finds Unity Against Musharraf
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"Germans saw Ms. Merkel’s first visit with Mr. Trump with a pragmatism similar to the chancellor’s, but his remarks 24 hours later pointed to differences on policy.",Germany Reacts to Merkel-Trump Visit: ‘Could Have Been a Lot Worse’,"She Schmoozes With Christie and Shows Gun Law Flexibility, Alarming Liberals"
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"Secretary of State Mike Pompeo’s remarks were the second softening of U.S. policy on Iran recently, even as the U.S. ratchets up military and financial pressure.",Trump Administration Says It Will Negotiate With Iran With ‘No Preconditions’,"U.S. Offers Aid to Lebanon, Linking It to Confronting Iran in Region"
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,A Malaysian investor whose firm has done public relations work for Cambodia’s prime minister bought The Phnom Penh Post months before national elections.,"A Newspaper Is Sold, and Cambodians Fear the End of Press Freedom","Critics of Cambodian Leader Prepare for Run Despite Arrests, Attacks and Warnings"
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"Pakistan briefly reopened the Khyber Pass on Friday, three days after beginning a military offensive against Taliban guerrillas that shut down the pass.",Pakistan Briefly Reopens Key NATO Supply Route,Weekend Pass?
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"Iraq’s prime minister offered assurances that security could be ensured, but a suicide bombing that killed at least 33 marred the public holiday.",Iraq Marks Withdrawal of U.S. Troops From Cities,"Divisive Walls Return, This Time in a Spat Between Baghdad and the Kurds"
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,The top 10 Democrats will be on a single stage for the first time on Thursday. Here are the key dynamics to watch for.,On Politics: It’s Debate Day,Why the Democratic Debate Could Be a Turning Point for the Candidates
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"Motives for a cyberattack, which could range from industrial spying to disabling the power grid, remain obscure.","As Hacking Against U.S. Rises, Experts Try to Pin Down Motive","Hackers’ Tactic, Motive and Sponsor Unclear"
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,John Burns answers readers’ questions on President Obama’s new plan in Afghanistan.,John Burns Q. and A. on Obama’s Afghan Plan,New York Times Magazine: President Obama Sets the Stage for His Summits in Russia and Italy
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"An ad by Ending Spending Action Fund supports Scott Brown, the former Massachusetts senator, and appeals to New Hampshire voters who oppose President Obama’s health care law.",Ad Promotes Scott Brown in New Hampshire,"In New Hampshire Senate Race, Group Slams Jeanne Shaheen Over Health Law"
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"In a new memoir, Leon E. Panetta draws a largely respectful portrait of a president who follows a “well-reasoned vision for the country” but also “misses opportunities.”","In Book, Panetta Recounts Frustration With Obama ",A Critical Friendship: Donald Trump and the Founders
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"Testimony at a London hearing on the 2006 poisoning death of Alexander V. Litvinenko, a former K.G.B. officer, also suggested that he had been a paid agent of British intelligence.",Russian State Role Seen in Death of Poisoned Spy,U.K. Inquiry Told of Possible Clues to Ex-K.G.B. Officer’s Death in Russia
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"The Obama administration plans to realign the United States’ relationship with China by putting more emphasis on climate change, energy and human rights.",U.S. Prepares to Broach Hard Issues With China,"Quietly, U.S. And China Are Working Together On Climate Change"
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"Ezra Nawi has become a symbol in the battle between advocacy groups on opposite sides of Israel’s political spectrum, and the debate over the nature of Israel.",Arrest of Leftist Israeli Activist Underlines Political Split,The Three Faces of Ezra Nawi
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"Ms. Harris sometimes struggled to clearly define her stances during her unsuccessful presidential campaign. But in recent months, she has emerged as a leading voice on racial justice and inequality.","Kamala Harris on the Issues: Race, Policing, Health Care and Education","Kamala Harris to Reintroduce Herself, After Dropping in the Polls"
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"In Ghazni, a provincial capital south of Kabul, the Taliban “tax” businesses, openly dominate neighborhoods and kill police officers with impunity.","When the Taliban Are at the Gates, a City Has One Choice: Pay Up","With Ghazni Attacks, Taliban Amp Up Violence After Failed Peace Talks"
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,France has long sought social justice through a commitment to universal ideals. But a younger generation is demanding recognition of racism — and remedies for it.,George Floyd Protests Stir a Difficult Debate on Race in France,When Universal Ideals Collide With the Specifics of Racism
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,The School of Economics and Management changed its graduation slogan from “Revive A shares! Benefit the people!” after an uproar online.,Tsinghua Business Graduates Scrap Market-Oriented Slogan,Chinese University Changes Graduation Message About Stock Markets and People’s Livelihoods
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,The police determined that a training device from a security exercise had been left behind at the stadium.,Manchester United Match Canceled After Fake Bomb Is Found,San Francisco: Device Outdoors Prompts Clearance of Performance Site
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"Sri Srinivasan is known in Washington as a brilliant judge and possible Supreme Court nominee. In his family’s village in India, he is known as “our son.”","With Sri Srinivasan, Indian Town Prays for a ‘Son’ on Supreme Court",An Indian-American in the Top Ranks of the Obama Justice Dept.
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"Secretary of State Mike Pompeo, on his first visit to sub-Saharan Africa, promotes partnerships with American companies, but finds China’s presence pervasive.","On Tour, Pompeo Courts Africa, to Counter China",China’s $200 Billion Africa Play
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"Stephan Templ, accused of defrauding the state by omitting a relative from a restitution claim for property looted by the Nazis in 1939, was sentenced to one year in prison.",Austrian Journalist Convicted in Holocaust Restitution Case Vows to Appeal,Austrian Historian Sentenced to Prison for Fraud Over Restitution Claim
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,Modesto the giraffe has helped a city held captive by drug violence entice residents to come outside again and enjoy themselves.,A Long-Necked Sign of Hope for a Frightened City,From Modest Giraffe a Glimmer of Hope in a Mexican City Plagued by Drug Violence
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,At stake in King v. Burwell is whether the phrase prevents millions of people in federal health care exchanges from receiving tax subsidies through the Affordable Care Act.,Officials Describe the Origins of Four Crucial Words: ‘Established by the State’,G.O.P. Leaders’ Argument on Health Law Appeals Echoes a 2011 Memo
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"American and Japanese officials issued a two-page statement that left little doubt that President Biden would defy Beijing in territorial disputes, challenges to democracy and other regional crises.","Visiting Japan, Top U.S. Envoys Set Combative Tone for China Talks","Biden and Japan’s Suga to Show Unity on Taiwan, China’s Isles and Emissions"
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"In Nevada, a state with a high share of Hispanic voters, the “super PAC” supporting Hillary Rodham Clinton released its first Spanish-language digital ad promoting her candidacy.",Group Supporting Hillary Clinton Releases Hispanic-Themed Ad,New Super PAC Ad Touts Hillary Clinton’s Support for Immigrants
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"Election officials in North Carolina, where both the presidential race and one of the most critical Senate contests in the country have remained too close to call, said on Friday that about 31,000 eligible mail ballots had arrived since Election Day.","With the nation’s focus elsewhere, North Carolina is still collecting, counting and too close to call.",Votes Trickle In on East Coast as the Country Awaits Results
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,The market for luxury student housing is growing.,"Off Campus, Life in Luxury",A Suite by Any Other Name Is Just as Swank
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,Kim Jong-il pulled into a thriving Chinese industrial city as he embarked on a secretive trip to an ally with a growing influence on his regime’s future.,Kim Jong-il Arrives in China,"For Kim Jong-il, Promises and Gigs in a Chinese Factory Town"
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,Preservationists are worried that one of the largest children’s stores in Europe could become the latest of Moscow’s architectural treasures to fall victim to commercial pressures.,New Chapter for Moscow’s Toy Story,"In Moscow, Storied ‘Children’s World’ Building Could Face Bulldozer"
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"Fritz Gelowicz, who had trained with an offshoot of Al Qaeda in Pakistan, received a 12-year sentence in 2010.",German Who Plotted to Bomb U.S. Targets in Europe Gets Out of Prison Early,Germany: Sentence in Bomb Plot Overshadows 9/11 Effort
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"An article last Sunday about Cuba’s economic relations with Venezuela misstated, in some editions, the recently estimated size of Cuba’s offshore oil reserves, which have aroused speculation that Cuba, with Venezuelan help in building refineries, may become a regional oil-refining center. The reserves contain as many as 20 billion barrels, not 20 million.",Correction,Corrections: November 20
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"Prime Minister Shinzo Abe of Japan responded to the ISIS video showing two Japanese hostages, calling the Islamic State’s methods “unforgivable.”",Japan Calls ISIS Acts ‘Unforgivable’,"Japan Asserts ‘Strong Trust’ Between Countries Will Save Hostages, and Defends Its Aid Policy"
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,Judge Thokozile Matilda Masipa is expected to rule on Friday on the remaining charge of “culpable homicide” in the killing of Reeva Steenkamp.,Oscar Pistorius Not Guilty of Murder; Still Faces Lesser Homicide Charge,Pistorius Acquitted of Overturned Charge of ‘Premeditated Murder’
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,The prime minister’s pledge to revitalize the economy and create a deluge of jobs has become subsumed in political turmoil.,Narendra Modi Struggles to Fulfill His Plan to Rejuvenate India,"Despite a Promising Start, Japanese Are Disillusioned With Shinzo Abe"
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"Susan E. Rice, President Obama’s national security adviser, said that Prime Minister Benjamin Netanyahu’s planned speech to Congress posed a problem for the Israeli-American relationship.",Rice Opposes Netanyahu’s Planned Speech,Obama Aide Says Israeli Leader Uses Invitation as ‘Political Football’
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"Millions of Iraqi Shiites celebrated one of the most emotional occasions in their religious calendar Wednesday, accompanied by stringent security measures.",Tight Security Across Iraq on a Holy Day for Shiites,"Iraqi Shiites Mark a Solemn Occasion, Precariously"
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"The dateline is Elyria, Ohio, a city of 55,000 about 30 miles southwest of Cleveland. You know this town, even if you have never been here.",This Land,"The whole thing started, more or less, in 1957, with a kiss on the far corner of a staircase on the school side of the building."
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,From The International Herald Tribune.,In Our Pages: January 14,A Note to Readers
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"The latest deaths bring the total number of Tibetans who have killed themselves by fire since February 2009 to 118, said Radio Free Asia.",2 Tibetans Die in Self-Immolations,"2 Buddhist Nuns in Tibet Set Themselves Afire, Report Says"
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,Rupert Murdoch’s British newspaper subsidiary was reported to have reached a new batch of settlements on Wednesday in the hacking scandal.,New Settlements in Britain’s Hacking Scandal,Compensation Reported in New Hacks
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"“Not here, not today,” a French politician told a woman wearing a head scarf. A photograph of her crying son went viral.","Another Hijab Furor Hits France, Over a Mother on a School Trip","Grieving, a French Mother Responds With Words Drawing Threats"
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,A sleepy resort island and Unesco World Heritage site where Muslims and bikini-clad tourists coexist may be threatened by plans for a huge seaport.,Future Kenya Port Could Mar Pristine Land,A Plan to Protect — and Profit From — Indonesia’s History
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,The head of the judiciary in England and Wales ruled Monday that observers can send Twitter postings and text messages from courtrooms while trials are in session.,"Britain: OK 2 Txt n Tweet in Court, Judge Rules",Twitter and Texts Get Green Light in British Courts
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"Comments by the prime minister, who called the decision by Yarra “a repudiation” of national values, stoked discussion about the meaning of the holiday.",Turnbull Renounces City’s Vote to Drop References to Australia Day,Australia Day: Prime Minister Criticizes Council for Canceling Celebrations
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,The Iranian lawyer for the released American hikers says their contention that they had been mistreated was baseless and politically motivated.,Lawyer for Hikers Freed by Iran Denies Abuse Claims,Iran Disputes Ex-Prisoners’ Charges of Mistreatment
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"Secretary of State John Kerry tried to lower the temperature in the three-way fight among congressional Republicans, the Obama administration and Prime Minister Benjamin Netanyahu of Israel.","Kerry Welcoming, but Wary of Netanyahu ",G.O.P.’s Iran Letter Deepens Rift Between Parties
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,From the International Herald Tribune archives: American couples marry to avoid the military draft in 1940.,1940: Rush to Marry Ahead of Draft,1940: Marriage Dissolves in the Light Of Jan. 1
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,The election of Raja Pervez Ashraf offered a brief respite after days of judicial intrigues and political turbulence that had shaken the country’s fragile democratic foundations.,Pakistani Parliament Elects New Prime Minister,Ashraf Elected as Pakistan's New Prime Minister
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,Emperor Akihito’s wish to retire comes with controversy — most notably whether to allow the royal bloodline to pass through the women of the imperial family.,Japan’s Parliament Passes Law Allowing Emperor to Abdicate,How Japan’s Imperial Family Is Connected to the Civil War in Syria
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"Mr. Fillon, a tradition-minded former prime minister, won the first round among the Republicans, advancing to face Alain Juppé and knocking out former President Nicolas Sarkozy.",Nicolas Sarkozy Is Out as François Fillon Takes Surprise Lead in French Primary,French Candidate Alain Juppé Signals Doubt Over Fighter Sales in Saudi Arabia
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"When the winter tide goes out on a northern Canadian bay, some Inuit clamber into the ice caves below to harvest fresh food.",Burrowing Under Luminous Ice to Retrieve Mussels,Up Close and Personal With an Inuit Clam Digger
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"The local mosque near an apartment tower that was destroyed by fire held a funfair, with traditional games, for displaced families.","For Child Survivors of London Fire, a Belated Eid Celebration","As Other Cities Have Rioted Over Living Costs, Hong Kong’s International Residents Get Out"
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"A powerful mix of hierarchy and authoritarianism is stopping people in China from expressing kindness much of the time, especially toward strangers.",Setting a Stage for Kindness in Chinese Society,The Silent Power of the N.S.A.
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,The shooting of three people in Ciudad Juárez raised concerns about the government’s strategy for attacking drug cartels.,Killings Fuel Concern Over Mexico’s Drug Offensive,Mexico Moves Ahead With Delays
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"The plane, said to be carrying more than 100 passengers and crew members, went down in rough weather, according to the military.",Military Plane Crash in Algeria Leaves Scores Dead,"Air Flordia Flight Crashes in Washington; Few OK (January 13, 1982)"
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"Wang Yang, an up-and-coming Chinese official, is seen by some analysts as the most likely person to push for political and social reforms at the highest level of China’s leadership.",A Chinese Official Tests a New Political Approach,"Rethinking Posturing, Website Hails a Chinese Leader Said to Favor Opening Up"
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"The estimated number of executions compares with about 12,000 in 2002, according to a United States-based human rights organization.","Estimated 2,400 Executions Last Year Put China Far Off Peak",Rights Group Says Iran Executions Double in 2011
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,A video feature examines how Mitt Romney has had to finesse his position on illegal immigration as he pivots towards the general election.,Mitt Romney’s Positions on Immigration,Mitt Romney and the Political Peril of Immigration
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"The official, Yu Qiyi,  died while being investigated for possible violations of Communist Party discipline.",China: Official Dies During Inquiry,"In Case Bound to Raise Questions, a Detainee Dies_HERSHEY "
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"Dozens were injured in the attack, but there were no immediate reports that the bombing was politically motivated.",Bank Bombed in Heavily Tibetan Area of China,The Terrorists’ Quiet New Year’s Eve in Iraq
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,The president spoke on Tuesday after the United States military launched airstrikes overnight against Islamic State targets in Iraq and Syria.,Obama Comments on Strikes Against ISIS,Obama Says U.S. Will Expand Airstrikes Against ISIS in Syria 
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"The family of Vincent Lambert, 42, has been bitterly divided over his fate for a decade because he did not leave written instructions about his end-of-life wishes.",French Court Clears Way to End Life Support for Man in Vegetative State,"Doctors Can Stop Feeding Frenchman in Right-to-Die Case"",""+Story+Posted"""
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"The Koch brothers have their name on a lot of things in Wichita, home of Koch Industries — a zoo exhibit, a YMCA, a basketball arena. But even in a city they’ve given millions to, there are skeptics.","Koch County, Kansas",Kochs in Wichita
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,“Are all the singers on television music programs twins?” new broadcast guidelines asked. Critics compared them to the censorship handed down during the country’s dictatorship.,"Calling K-Pop Stars ‘Identical,’ South Korea Tries to Limit Their Influence","To Stop Cheating, Brazilian Broadcasters Will Make Musical Reality Shows Less Real"
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"In response to Freedom of Information Act lawsuits by The New York Times and the Electronic Frontier Foundation, the government has declassified a set of previously secret motions and rulings involving the Foreign Intelligence Surveillance Court. The documents relate to the spy court’s then-secret decision in 2002 to eliminate a rule that required the Federal Bureau of Investigation to remove names and irrelevant information about innocent Americans picked up as part of wiretapping under the Foreign Intelligence Surveillance Act before sharing information with the National Security Agency and the Central Intelligence Agency — and, starting in 2012, the National Counterterrorism Center.",Government Declassifies Surveillance Court Documents on “Raw Take” Sharing,Information De-Classified by the Government Under a Court Order
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,New legislation would classify victimizing people because of their gender identity or gender expression as a hate crime.,Canada Moves to Ban Discrimination Against Transgender People,"To Combat Bias by Population, Officials Push a Legal Reform"
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,A giant lobster named Larry is at the center of a small town’s identity. What happens if he leaves? And what does a dispute about its future say about the culture of Australia’s “Big Things”?,For Sale: 55-Foot-Tall Lobster. Owners in a Pinch. Can You Help?,Who Owns Larry? Debating the Glories of Australia’s ‘Big Things’
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"The three assailants were shot and killed at the scene of the attacks, which ended a period of relative calm in the Old City.",Israeli Dies as Palestinian Attackers Stage Assaults in Jerusalem,3 Palestinians Armed With Knives Kill Israeli Policewoman
